Title,Note,URL,Tags,Comment
,,,,
Kagura Monterey Park,,https://www.google.com/maps/place/Kagura+Monterey+Park/data=!4m2!3m1!1s0x80c2c5c3c790c6e9:0xcabe68ca8603231e,,
EE NAMI Tonkatsu Izakaya,,https://www.google.com/maps/place/EE+NAMI+Tonkatsu+Izakaya/data=!4m2!3m1!1s0x80dc01eb388d7b6d:0xdb84a47c2b62797c,,
VIET NOM,,https://www.google.com/maps/place/VIET+NOM/data=!4m2!3m1!1s0x80dc00cdc6399301:0xf7164541e7bf9b71,,
Blue Ocean Sushi & Grill,,https://www.google.com/maps/place/Blue+Ocean+Sushi+%26+Grill/data=!4m2!3m1!1s0x80dc07584b741c4f:0xc3331b788a6c5160,,
Ramen Nagi,,https://www.google.com/maps/place/Ramen+Nagi/data=!4m2!3m1!1s0x80dc07011599fa89:0x9efda7c9e8fe841f,,
Archives Of Us,,https://www.google.com/maps/place/Archives+Of+Us/data=!4m2!3m1!1s0x80c2c706135d22ed:0x134336d68205af6c,,
House of Mandi - Yemeni Restaurant,,https://www.google.com/maps/place/House+of+Mandi+-+Yemeni+Restaurant/data=!4m2!3m1!1s0x80dd29ae021d655f:0xc6fc4b5726a488b4,,
Shabuya Los Angeles,,https://www.google.com/maps/place/Shabuya+Los+Angeles/data=!4m2!3m1!1s0x80c2c79859e8453b:0x6ea46331290d7972,,
Hama Sushi,,https://www.google.com/maps/place/Hama+Sushi/data=!4m2!3m1!1s0x80c2c647f97c34df:0x35afb5fd9db2813c,,
Liao Fan Hawker Chan (Chinatown),,https://www.google.com/maps/place/Liao+Fan+Hawker+Chan+(Chinatown)/data=!4m2!3m1!1s0x31da19731378e5d9:0x66f0318292b49348,,
Jigger & Pony,,https://www.google.com/maps/place/Jigger+%26+Pony/data=!4m2!3m1!1s0x31da190d061da0df:0x41672a5a407459bc,,
Sonmari,,https://www.google.com/maps/place/Sonmari/data=!4m2!3m1!1s0x80c2c7a6890e819b:0x9c5a9675365eb273,,
Nuka Cafe,,https://www.google.com/maps/place/Nuka+Cafe/data=!4m2!3m1!1s0x80c2bb2c35562893:0x780dec8c53518970,,
BOUKA'S JAMAICAN RESTAURANT,,https://www.google.com/maps/place/BOUKA'S+JAMAICAN+RESTAURANT/data=!4m2!3m1!1s0x80c2b9a3c974accd:0xaceba1b97f3ddb3b,,
iWagyu ATS BBQ - 燒肉莊園,,https://www.google.com/maps/place/iWagyu+ATS+BBQ+-+%E7%87%92%E8%82%89%E8%8E%8A%E5%9C%92/data=!4m2!3m1!1s0x80c2c536a9ac7ab1:0xd0d1ae96ddbe9858,,
Noma Sushi,,https://www.google.com/maps/place/Noma+Sushi/data=!4m2!3m1!1s0x80c2bb4bbbb84a43:0xf55198574d64f4c,,
Otus Thai Kitchen & Coffee,,https://www.google.com/maps/place/Otus+Thai+Kitchen+%26+Coffee/data=!4m2!3m1!1s0x80c2bf27d896702d:0x5d96ba16f1db2d23,,
Square Lotus,,https://www.google.com/maps/place/Square+Lotus/data=!4m2!3m1!1s0x54906c003a12c57f:0x4bd2b31489aadb4e,,
White Elephant,,https://www.google.com/maps/place/White+Elephant/data=!4m2!3m1!1s0x80c2c78217862b8b:0x80dd0496acfd7aec,,
Bacari GDL,,https://www.google.com/maps/place/Bacari+GDL/data=!4m2!3m1!1s0x80c2c0fe571ac5a5:0xe03c7a80144cb67b,,
Manuela,,https://www.google.com/maps/place/Manuela/data=!4m2!3m1!1s0x80c2c63ec988cfd5:0x7927f2642b088721,,
Camelia,,https://www.google.com/maps/place/Camelia/data=!4m2!3m1!1s0x80c2c7bef2714da7:0x3b4972d31f95dc1d,,
Kizuki Ramen & Izakaya (Bellevue Square),,https://www.google.com/maps/place/Kizuki+Ramen+%26+Izakaya+(Bellevue+Square)/data=!4m2!3m1!1s0x54906c8667753cbf:0x710a5c4475a72a5d,,
Ba Sa Restaurant,,https://www.google.com/maps/place/Ba+Sa+Restaurant/data=!4m2!3m1!1s0x54903fa9fcf9f71f:0xdf441e5097d2f9ed,,
Wild Ginger Downtown Seattle,,https://www.google.com/maps/place/Wild+Ginger+Downtown+Seattle/data=!4m2!3m1!1s0x54906ab3a328441d:0xc79f48c3b2036d8f,,
Black Bottle Gastrotavern,,https://www.google.com/maps/place/Black+Bottle+Gastrotavern/data=!4m2!3m1!1s0x5490154e415c95f3:0xc6205a593735716d,,
MonGa Café,,https://www.google.com/maps/place/MonGa+Caf%C3%A9/data=!4m2!3m1!1s0x54906da9a58485f3:0x7bce4ae385d77187,,
Kajiken,,https://www.google.com/maps/place/Kajiken/data=!4m2!3m1!1s0x54906b2b961e983d:0xb31e6f4f1b5dc545,,
Ramen Nori • Ramen & Sushi,,https://www.google.com/maps/place/Ramen+Nori+%E2%80%A2+Ramen+%26+Sushi/data=!4m2!3m1!1s0x54906d8e343740b9:0x2e7bb14a41f81f4f,,
Curry Lab Sapporo,,https://www.google.com/maps/place/Curry+Lab+Sapporo/data=!4m2!3m1!1s0x549015ce25ba1a33:0xeb004511dec4de1a,,
Tendon Kohaku,,https://www.google.com/maps/place/Tendon+Kohaku/data=!4m2!3m1!1s0x54906d0027db1ee9:0xc11883ba2c8c78f9,,
Phê,,https://www.google.com/maps/place/Ph%C3%AA/data=!4m2!3m1!1s0x54906b8c7bc7c3f9:0x77fa4676f2c7f632,,
La Barca Restaurant,,https://www.google.com/maps/place/La+Barca+Restaurant/data=!4m2!3m1!1s0x80c2c7f310a8a1f7:0x452674dd988867d0,,
Fritto Misto,,https://www.google.com/maps/place/Fritto+Misto/data=!4m2!3m1!1s0x80c2a4d26f54a6c7:0x22bf73150c62222f,,
TAO KAY restaurant 头家（潮汕味道）,,https://www.google.com/maps/place/TAO+KAY+restaurant+%E5%A4%B4%E5%AE%B6%EF%BC%88%E6%BD%AE%E6%B1%95%E5%91%B3%E9%81%93%EF%BC%89/data=!4m2!3m1!1s0x80c2db30bf1b0aa5:0xef0201217ab39ee3,,
JM Seafood (Wing Yip Chop Suey Restaurant),,https://www.google.com/maps/place/JM+Seafood+(Wing+Yip+Chop+Suey+Restaurant)/data=!4m2!3m1!1s0x880e2c432f2f38e7:0xaee09fe77c09ee54,,
Niu Japanese Fusion Lounge,,https://www.google.com/maps/place/Niu+Japanese+Fusion+Lounge/data=!4m2!3m1!1s0x880e2b544b36af39:0xff9f8af85d2eea21,,
Sushi Plus Rotary Sushi Bar South Loop,,https://www.google.com/maps/place/Sushi+Plus+Rotary+Sushi+Bar+South+Loop/data=!4m2!3m1!1s0x880e2d00441f374f:0x2406507c4078ae65,,
Kyuramen x TBaar - Downtown Chicago,,https://www.google.com/maps/place/Kyuramen+x+TBaar+-+Downtown+Chicago/data=!4m2!3m1!1s0x880e2d25f9cf1653:0xccdd7af40d1470e,,
"AMBAR Restaurant, Chicago",,"https://www.google.com/maps/place/AMBAR+Restaurant,+Chicago/data=!4m2!3m1!1s0x880e2cb32e0169fd:0xa7d0ea562550c1d1",,
MoonGoat Coffee,,https://www.google.com/maps/place/MoonGoat+Coffee/data=!4m2!3m1!1s0x80dd2944785eb8a7:0xfb64412bba6cc1c5,,
Stamina Yakiniku Harada,,https://www.google.com/maps/place/Stamina+Yakiniku+Harada/data=!4m2!3m1!1s0x6000e70274bb3b03:0x1c4708681630ba4a,,
LiLo Coffee Roasters,,https://www.google.com/maps/place/LiLo+Coffee+Roasters/data=!4m2!3m1!1s0x6000e71a9f6e3fd5:0xe2179a06c106d486,,
从这里开始烧肉 难波店,,https://www.google.com/maps/place/%E4%BB%8E%E8%BF%99%E9%87%8C%E5%BC%80%E5%A7%8B%E7%83%A7%E8%82%89+%E9%9A%BE%E6%B3%A2%E5%BA%97/data=!4m2!3m1!1s0x6000e7002bae1f2f:0x26e74dfdde923e2b,,
アペロ食堂｜お好み焼・ワインバー-大阪・北新地,,https://www.google.com/maps/place/%E3%82%A2%E3%83%9A%E3%83%AD%E9%A3%9F%E5%A0%82%EF%BD%9C%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%83%BB%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%90%E3%83%BC-%E5%A4%A7%E9%98%AA%E3%83%BB%E5%8C%97%E6%96%B0%E5%9C%B0/data=!4m2!3m1!1s0x6000e74f43c78535:0x302606d8b1dd0149,,
ジェイ･プライド梅田永楽ビル,,https://www.google.com/maps/place/%E3%82%B8%E3%82%A7%E3%82%A4%EF%BD%A5%E3%83%97%E3%83%A9%E3%82%A4%E3%83%89%E6%A2%85%E7%94%B0%E6%B0%B8%E6%A5%BD%E3%83%93%E3%83%AB/data=!4m2!3m1!1s0x6000e78075f16c5f:0xe7206b879474ec55,,
ディアブロ道頓堀千日前店,,https://www.google.com/maps/place/%E3%83%87%E3%82%A3%E3%82%A2%E3%83%96%E3%83%AD%E9%81%93%E9%A0%93%E5%A0%80%E5%8D%83%E6%97%A5%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x6000e7f6454be33b:0xc3d963f45955e809,,
